source_id,n_results,mean_result,lci_result,uci_result,pws_type,primary_source,population_served_count,city_name,gw_or_sw_code,is_school_or_daycare,town
MA1004000,1,0.00114962516936711,0.00114962516936711,0.00114962516936711,Community water system,Ground water,8100,ADAMS,GW,N,ADAMS
MA1005000,11,0.00102832391790414,0.000275,0.00125335931252751,Community water system,Surface water purchased,28613,AGAWAM,SW,N,AGAWAM
MA1008000,37,0.000961674393519088,0.00015,0.00130353555006283,Community water system,Surface water,37819,AMHERST,SW,N,AMHERST
MA1013000,8,0.00120149224094731,0.00114962516936711,0.00125335931252751,Community water system,Ground water,400,ASHFIELD,GW,N,ASHFIELD
MA1015000,3,0.000783083446244737,0.000159962516936711,0.00114962516936711,Community water system,Ground water,10199,ATHOL,GW,N,ATHOL
MA1024000,4,0.000699812584683553,0.00025,0.00114962516936711,Community water system,Ground water,3399,BELCHERTOWN,GW,N,BELCHERTOWN
MA1024001,4,0.0003625,0.0001,0.0008875,Community water system,Ground water,107,BELCHERTOWN,GW,N,BELCHERTOWN
MA1024002,4,0.000462406292341776,0.0002075,0.00101468139396204,Community water system,Ground water,600,BELCHERTOWN,GW,N,BELCHERTOWN
MA1024009,3,0.000498708458722892,0.00005,0.000946512838551808,Community water system,Ground water,25,BRIMFIELD,GW,N,BRIMFIELD
MA1024015,3,0.000665375125389559,0.0005,0.000946512838551808,Community water system,Ground water,30,AUBURNDALE,GW,N,AUBURNDALE
MA1029000,8,0.00106403909477642,0.000434868809278487,0.00125335931252751,Community water system,Ground water,1475,BERNARDSTON,GW,N,BERNARDSTON
MA1033000,6,0.00121878126480738,0.00114962516936711,0.00125335931252751,Community water system,Surface water,874,BLANDFORD,SW,N,BLANDFORD
MA1043001,6,0.000817661493964873,0.00005,0.00125335931252751,Community water system,Ground water,137,NASHUA,GW,N,NASHUA
MA1043002,6,0.000525589258343805,0.00025,0.00112765166254712,Community water system,Ground water,60,BRIMFIELD,GW,N,BRIMFIELD
MA1053030,3,0.000800994827298207,0.000114962516936711,0.00124298589821147,Community water system,Ground water,36,CHARLEMONT,GW,N,CHARLEMONT
MA1053033,4,0.00120149224094731,0.00114962516936711,0.00125335931252751,Community water system,Ground water,30,FITCHBURG,GW,N,FITCHBURG
MA1058000,3,0.00118420321708724,0.00114962516936711,0.00124298589821147,Community water system,Surface water,1407,CHESHIRE,SW,N,CHESHIRE
MA1058001,3,0.000817661493964873,0.000159962516936711,0.00124298589821147,Community water system,Ground water,400,GRAFTON,GW,N,GRAFTON
MA1058002,3,0.000800994827298207,0.000114962516936711,0.00124298589821147,Community water system,Ground water,180,PITTSFORD,GW,N,PITTSFORD
MA1059000,5,0.000991940621389929,0.000269925033873421,0.00125335931252751,Community water system,Surface water,750,CHESTER,SW,N,CHESTER
MA1061000,108,0.000421574074074074,0.0001,0.0005,Community water system,Surface water purchased,55126,CHICOPEE,SW,N,CHICOPEE
MA1063003,3,0.000817661493964873,0.000159962516936711,0.00124298589821147,Community water system,Ground water,180,CLARKSBURG,GW,N,CLARKSBURG
MA1066000,2,0.000699812584683553,0.000294981258468355,0.00110464391089875,Community water system,Ground water,100,COLRAIN,GW,N,COLRAIN
MA1066001,5,0.000550671862505503,0.00025,0.00110268745002201,Community water system,Ground water,125,COLRAIN,GW,N,COLRAIN
MA1066007,2,0.00120149224094731,0.00115481187652513,0.00124817260536949,Community water system,Ground water,28,COLRAIN,GW,N,COLRAIN
MA1069001,4,0.00117555870515721,0.00114962516936711,0.00123779919105345,Community water system,Ground water,281,CUMMINGTON,GW,N,CUMMINGTON
MA1069002,2,0.00120149224094731,0.00115481187652513,0.00124817260536949,Community water system,Ground water,98,CUMMINGTON,GW,N,CUMMINGTON
MA1070000,4,0.000750839828131879,0.0001175,0.00124535541564839,Community water system,Surface water purchased,6413,DALTON,SW,N,DALTON
MA1074000,10,0.000479217128722715,0.0003625,0.000514057095742382,Community water system,Ground water,1300,DEERFIELD,GW,N,DEERFIELD
MA1074001,5,0.00110268745002201,0.000650671862505503,0.00125335931252751,Community water system,Surface water,3800,SOUTH DEERFIELD,SW,N,SOUTH DEERFIELD
MA1074005,10,0.0018758578615051,0.00114962516936711,0.00471,Community water system,Ground water,350,DEERFIELD,GW,Y,DEERFIELD
MA1085000,11,0.00102832391790414,0.000275,0.00125335931252751,Community water system,Surface water purchased,16053,EAST LONGMEADOW,SW,N,EAST LONGMEADOW
MA1087000,54,0.00386666666666667,0.0004,0.00721499999999998,Community water system,Ground water,16439,EASTHAMPTON,GW,N,EASTHAMPTON
MA1090000,6,0.000792039136771472,0.0000125,0.00122742577673741,Community water system,Surface water,1000,SOUTH EGREMONT,SW,N,SOUTH EGREMONT
MA1091000,4,0.000900652412815431,0.000214943775405066,0.00123779919105345,Community water system,Ground water,561,ERVING,GW,N,ERVING
MA1106002,6,0.00111051040324619,0.000662406292341776,0.00125335931252751,Community water system,Ground water,750,MOUNT HERMON,GW,Y,MOUNT HERMON
MA1108009,2,0.00120149224094731,0.00115481187652513,0.00124817260536949,Community water system,Ground water,25,GOSHEN,GW,N,GOSHEN
MA1111000,6,0.000583270861561184,0.0001,0.00133740629234178,Community water system,Ground water,101,GRANBY,GW,N,GRANBY
MA1111001,4,0.000699812584683553,0.00025,0.00114962516936711,Community water system,Ground water,305,GRANBY,GW,Y,GRANBY
MA1111002,3,0.00178117851668761,0.00134718199505655,0.002244,Community water system,Ground water,61,GRANBY,GW,N,GRANBY
MA1111003,5,0.000629925033873421,0.0005,0.00101970013549368,Community water system,Ground water,152,GRANBY,GW,N,GRANBY
MA1111025,2,0.00130353555006283,0.00130353555006283,0.00130353555006283,Community water system,Ground water,78,CHICOPEE,GW,N,CHICOPEE
MA1111039,2,0.0011,0.00074,0.00146,Community water system,Ground water,30,GRANBY,GW,N,GRANBY
MA1112000,3,0.00055117851668761,0.000115,0.00119818199505655,Community water system,Ground water,75,BEDFORD,GW,N,BEDFORD
MA1113000,4,0.00120149224094731,0.00114962516936711,0.00125335931252751,Community water system,Ground water,4100,GREAT BARRINGTON,GW,N,GREAT BARRINGTON
MA1113003,3,0.00121878126480738,0.00115999858368315,0.00125335931252751,Community water system,Surface water,1391,GREAT BARRINGTON,SW,N,GREAT BARRINGTON
MA1113017,3,0.000817661493964873,0.000159962516936711,0.00124298589821147,Community water system,Ground water,500,GREAT BARRINGTON,GW,Y,GREAT BARRINGTON
MA1114000,10,0.00107078289537852,0.000544831326215197,0.00125335931252751,Community water system,Surface water,17645,GREENFIELD,SW,N,GREENFIELD
MA1117002,7,0.00119408265929299,0.00114962516936711,0.00125335931252751,Community water system,Ground water,5173,HADLEY,GW,N,HADLEY
MA1120001,11,0.00132869746097626,0.00005,0.00302667965626376,Community water system,Ground water,100,HAMPDEN,GW,N,HAMPDEN
MA1120002,4,0.001525,0.000415,0.0026,Community water system,Ground water,60,HAMPDEN,GW,N,HAMPDEN
MA1120015,4,0.000699906292341776,0.0002875,0.00111218139396204,Community water system,Ground water,25,HAMPDEN,GW,N,HAMPDEN
MA1120023,3,0.000433333333333333,0.0004,0.00049,Community water system,Ground water,100,HAMPDEN,GW,N,HAMPDEN
MA1121004,6,0.000800994827298207,0,0.00125335931252751,Community water system,Ground water,1000,HANCOCK,GW,N,HANCOCK
MA1121011,1,0.00114962516936711,0.00114962516936711,0.00114962516936711,Community water system,Ground water,160,HANCOCK,GW,N,HANCOCK
MA1124000,5,0.00039,0.00027,0.0005,Community water system,Ground water,80,GILBERTVILLE,GW,N,GILBERTVILLE
MA1124001,6,0.0005,0.0005,0.0005,Community water system,Ground water,1000,GILBERTVILLE,GW,N,GILBERTVILLE
MA1124002,8,0.0004,0.00025,0.0005,Community water system,Ground water,300,GILBERTVILLE,GW,N,GILBERTVILLE
MA1124003,5,0.000589932185246301,0.0002,0.001242053515284,Community water system,Ground water,300,HARDWICK,GW,Y,HARDWICK
MA1127000,27,0.00100491960373485,0.00005,0.00125335931252751,Community water system,Surface water,3307,HATFIELD,SW,N,HATFIELD
MA1132000,4,0.00122742577673741,0.00116518529084117,0.00125335931252751,Community water system,Surface water,1800,HINSDALE,SW,N,HINSDALE
MA1132002,6,0.000601119770842505,0.00005,0.00125335931252751,Community water system,Ground water,150,HOCKESSIN,GW,N,HOCKESSIN
MA1132008,6,0.000601119770842505,0.00005,0.00125335931252751,Community water system,Ground water,66,HINSDALE,GW,N,HINSDALE
MA1132009,4,0.000976585948605533,0.000384943775405066,0.00125335931252751,Community water system,Ground water,74,HINSDALE,GW,N,HINSDALE
MA1137000,10,0.000591007793758254,0.00005,0.00125335931252751,Community water system,Surface water,40124,HOLYOKE,SW,N,HOLYOKE
MA1143000,4,0.00120149224094731,0.00114962516936711,0.00125335931252751,Community water system,Ground water,1200,HUNTINGTON,GW,N,HUNTINGTON
MA1148000,6,0.00076641677957807,0,0.00114962516936711,Community water system,Surface water purchased,2324,LANESBOROUGH,SW,N,LANESBOROUGH
MA1148001,2,0.00120149224094731,0.00115481187652513,0.00124817260536949,Community water system,Ground water purchased,34,BERKSHIRE,GW,N,BERKSHIRE
MA1148008,1,0.00114962516936711,0.00114962516936711,0.00114962516936711,Community water system,Ground water,25,LANESBOROUGH,GW,N,LANESBOROUGH
MA1150000,6,0.000992599022192724,0.000287406292341776,0.00125335931252751,Community water system,Surface water,5051,LEE,SW,N,LEE
MA1150003,2,0.00120149224094731,0.00115481187652513,0.00124817260536949,Community water system,Ground water,43,LEE,GW,N,LEE
MA1152000,4,0.000926585948605533,0.000214943775405066,0.00125335931252751,Community water system,Surface water,9800,LENOX,SW,N,LENOX
MA1159000,11,0.00102832391790414,0.000275,0.00125335931252751,Community water system,Surface water purchased,15358,LONGMEADOW,SW,N,LONGMEADOW
MA1190000,4,0.00120149224094731,0.00114962516936711,0.00125335931252751,Community water system,Surface water,55,MONROE,SW,N,MONROE
MA1191000,7,0.000774285714285714,0.00043,0.00141,Community water system,Ground water,4169,MONSON,GW,N,MONSON
MA1192000,6,0.000783208389789035,0.000425,0.00114962516936711,Community water system,Ground water,7057,TURNERS FALLS,GW,N,TURNERS FALLS
MA1192003,1,0.0005,0.0005,0.0005,Community water system,Ground water,450,MONTAGUE,GW,N,MONTAGUE
MA1193000,5,0.000961193792757848,0.000229925033873421,0.00125335931252751,Community water system,Ground water,149,MONTEREY,GW,N,MONTEREY
MA1193003,8,0.000901119180710482,0,0.00125335931252751,Community water system,Ground water,93,MONTEREY,GW,N,MONTEREY
MA1203000,3,0.00121878126480738,0.00115999858368315,0.00125335931252751,Community water system,Ground water,60,MILL RIVER,GW,N,MILL RIVER
MA1203002,4,0.0011631172926477,0.00101915034514844,0.00125335931252751,Community water system,Ground water,80,SOUTHFIELD,GW,N,SOUTHFIELD
MA1209000,16,0.0010856807108289,0.0003875,0.00125335931252751,Community water system,Surface water,13000,NORTH ADAMS,SW,N,NORTH ADAMS
MA1214000,19,0.00064635592238703,0,0.00130353555006283,Community water system,Surface water,28549,NORTHAMPTON,SW,N,NORTHAMPTON
MA1214001,4,0.00120149224094731,0.00114962516936711,0.00125335931252751,Community water system,Ground water,120,LEEDS,GW,N,LEEDS
MA1217000,1,0.00025,0.00025,0.00025,Community water system,Ground water,800,NORTHFIELD,GW,N,NORTHFIELD
MA1217001,4,0.00106501948439564,0.000613003896879127,0.00125335931252751,Community water system,Surface water,726,MOUNT HERMON,SW,Y,MOUNT HERMON
MA1223000,10,0.000809850067746842,0.0005,0.00114962516936711,Community water system,Surface water purchased,6492,ORANGE,SW,N,ORANGE
MA1227000,13,0.000280769230769231,0.00006,0.0005,Community water system,Surface water,4789,PALMER,SW,N,PALMER
MA1227002,6,0.000466666666666667,0.0004,0.0005,Community water system,Ground water,1429,BONDSVILLE,GW,N,BONDSVILLE
MA1227003,7,0.000593867300017951,0.000095,0.00130353555006283,Community water system,Ground water,3258,THREE RIVERS,GW,N,THREE RIVERS
MA1227015,2,0.00130353555006283,0.00130353555006283,0.00130353555006283,Community water system,Ground water,48,PALMER,GW,N,PALMER
MA1236000,24,0.00110985681016672,0.000214943775405066,0.00125335931252751,Community water system,Surface water,44737,PITTSFIELD,SW,N,PITTSFIELD
MA1249008,2,0.00120149224094731,0.00115481187652513,0.00124817260536949,Community water system,Ground water,38,RICHMOND,GW,N,RICHMOND
MA1255000,2,0.0011,0.00056,0.00164,Community water system,Ground water,275,ROYALSTON,GW,N,ROYALSTON
MA1256000,5,0.00119111882663127,0.00114962516936711,0.00125335931252751,Community water system,Ground water,1228,RUSSELL,GW,N,RUSSELL
MA1260001,2,0.00120149224094731,0.00115481187652513,0.00124817260536949,Community water system,Ground water,100,SANDISFIELD,GW,N,SANDISFIELD
MA1267000,4,0.00120149224094731,0.00114962516936711,0.00125335931252751,Community water system,Ground water,965,PLAINVILLE,GW,N,PLAINVILLE
MA1267001,4,0.00120149224094731,0.00114962516936711,0.00125335931252751,Community water system,Ground water,475,SHEFFIELD,GW,Y,SHEFFIELD
MA1268000,4,0.000876679656263757,0.0005,0.00125335931252751,Community water system,Ground water,1978,SHELBURNE FALLS,GW,N,SHELBURNE FALLS
MA1268011,4,0.00120149224094731,0.00114962516936711,0.00125335931252751,Community water system,Ground water,30,SHELBURNE,GW,N,SHELBURNE
MA1275000,108,0.000421574074074074,0.0001,0.0005,Community water system,Surface water purchased,14450,SOUTH HADLEY,SW,N,SOUTH HADLEY
MA1275001,5,0.00034,0.00021,0.0005,Community water system,Ground water,6200,SOUTH HADLEY,GW,N,SOUTH HADLEY
MA1276000,3,0.00118420321708724,0.00114962516936711,0.00124298589821147,Community water system,Ground water,4763,SOUTHAMPTON,GW,N,SOUTHAMPTON
MA1279000,7,0.000822868276797506,0.0005,0.00125335931252751,Community water system,Surface water purchased,7552,SOUTHWICK,SW,N,SOUTHWICK
MA1281000,11,0.00102832391790414,0.000275,0.00125335931252751,Community water system,Surface water,228554,SPRINGFIELD,SW,N,SPRINGFIELD
MA1283003,3,0.00121878126480738,0.00115999858368315,0.00125335931252751,Community water system,Surface water,2800,STOCKBRIDGE,SW,N,STOCKBRIDGE
MA1283015,1,0.00114962516936711,0.00114962516936711,0.00114962516936711,Community water system,Ground water,225,LENOX,GW,N,LENOX
MA1283017,8,0.00120149224094731,0.00114962516936711,0.00125335931252751,Community water system,Ground water,50,STOCKBRIDGE,GW,N,STOCKBRIDGE
MA1283019,4,0.00120149224094731,0.00114962516936711,0.00125335931252751,Community water system,Ground water,25,PITTSFIELD,GW,N,PITTSFIELD
MA1289000,7,0.0005,0.0005,0.0005,Community water system,Ground water,2990,SUNDERLAND,GW,N,SUNDERLAND
MA1289001,2,0.003,0.003,0.003,Community water system,Ground water,500,SUNDERLAND,GW,N,SUNDERLAND
MA1289002,46,0.00420544262320575,0.00114962516936711,0.00675,Community water system,Ground water,88,SUNDERLAND,GW,N,SUNDERLAND
MA1306001,5,0.000821414220025132,0.0005,0.00130353555006283,Community water system,Ground water,80,NORWICH,GW,N,NORWICH
MA1306006,8,0.000575883887515708,0.00025,0.00130353555006283,Community water system,Ground water,25,SPRINGFIELD,GW,N,SPRINGFIELD
MA1309000,8,0.0004375,0.00025,0.0005,Community water system,Ground water,7376,WARE,GW,N,WARE
MA1309001,3,0.000634511850020943,0.00014,0.00122318199505655,Community water system,Ground water,65,WARE,GW,N,WARE
MA1311000,1,0.00130353555006283,0.00130353555006283,0.00130353555006283,Community water system,Ground water,2270,WARREN,GW,N,WARREN
MA1311001,8,0.00103908594860553,0.0005,0.00125335931252751,Community water system,Ground water,927,WEST WARREN,GW,N,WEST WARREN
MA1325000,15,0.000877673243133894,0.000085,0.00126841218378811,Community water system,Surface water purchased,28391,WEST SPRINGFIELD,SW,N,WEST SPRINGFIELD
MA1326000,6,0.00118420321708724,0.00114962516936711,0.00125335931252751,Community water system,Ground water,535,WEST STOCKBRIDGE,GW,N,WEST STOCKBRIDGE
MA1329000,62,0.000547986433882625,0.00005,0.00130353555006283,Community water system,Surface water,42000,WESTFIELD,SW,N,WESTFIELD
MA1337000,1,0.00114962516936711,0.00114962516936711,0.00114962516936711,Community water system,Ground water,100,WHATELY,GW,N,WHATELY
MA1337010,74,0.00473819995354916,0.00125335931252751,0.00614,Community water system,Ground water,1100,SOUTH DEERFIELD,GW,N,SOUTH DEERFIELD
MA1339000,108,0.000421574074074074,0.0001,0.0005,Community water system,Surface water purchased,8533,WILBRAHAM,SW,N,WILBRAHAM
MA1340000,8,0.00123996983612124,0.00114962516936711,0.00130353555006283,Community water system,Ground water,1953,HAYDENVILLE,GW,N,HAYDENVILLE
MA1341000,12,0.00120149224094731,0.00114962516936711,0.00125335931252751,Community water system,Ground water,7326,WILLIAMSTOWN,GW,N,WILLIAMSTOWN
MA1341003,102,0.0036199335263026,0.00005,0.0099,Community water system,Ground water,200,WILLIAMSTOWN,GW,N,WILLIAMSTOWN
MA1341004,2,0.00120149224094731,0.00115481187652513,0.00124817260536949,Community water system,Ground water,50,WILLIAMSTOWN,GW,N,WILLIAMSTOWN
MA1349000,2,0.00120149224094731,0.00115481187652513,0.00124817260536949,Community water system,Ground water,565,WORTHINGTON,GW,Y,WORTHINGTON
MA2002000,85,0.00275294117647059,0.0005,0.00939999999999999,Community water system,Groundwater under influence of surface water,20890,ACTON,SW,N,ACTON
MA2002010,4,0.0005,0.0005,0.0005,Community water system,Ground water,95,WORCESTER,GW,N,WORCESTER
MA2002014,8,0.0005,0.0005,0.0005,Community water system,Ground water,80,ACTON,GW,N,ACTON
MA2011004,14,0.000595378634496106,0.0005,0.001,Community water system,Surface water,11394,ASHBURNHAM,SW,N,ASHBURNHAM
MA2017000,155,0.00268535841337445,0.00005,0.0129999999999998,Community water system,Surface water purchased,11763,AUBURN,SW,N,AUBURN
MA2019000,147,0.000734534043637601,0.0005,0.002,Community water system,Ground water,7519,AYER,GW,N,AYER
MA2019001,22,0.00341310800584118,0.0005,0.006285,Community water system,Ground water,6500,DEVENS,GW,N,DEVENS
MA2021000,8,0.000856203146170888,0.0005,0.00215736880927849,Community water system,Ground water,4000,BARRE,GW,Y,BARRE
MA2021001,11,0.00121563780592373,0.00114962516936711,0.00125335931252751,Community water system,Ground water,114,BARRE,GW,N,BARRE
MA2025000,18,0.000861136363153079,0.0005,0.00125335931252751,Community water system,Ground water,15575,BELLINGHAM,GW,N,BELLINGHAM
MA2028007,12,0.000930251475696053,0.0005,0.00130353555006283,Community water system,Ground water,48,BERLIN,GW,N,BERLIN
MA2028012,2,0.0005,0.0005,0.0005,Community water system,Ground water,150,BOYLSTON,GW,N,BOYLSTON
MA2028015,6,0.000583333333333333,0.0005,0.000875,Community water system,Ground water,40,WORCESTER,GW,N,WORCESTER
MA2028017,6,0.0005,0.0005,0.0005,Community water system,Ground water,272,BERLIN,GW,N,BERLIN
MA2028018,3,0.0005,0.0005,0.0005,Community water system,Ground water,80,WELLESLEY,GW,N,WELLESLEY
MA2028020,2,0.0005,0.0005,0.0005,Community water system,Ground water,1330,BERLIN,GW,Y,BERLIN
MA2032000,6,0.000984950517824941,0.0005,0.00125335931252751,Community water system,Ground water,8046,BLACKSTONE,GW,N,BLACKSTONE
MA2034027,7,0.00104333704464679,0.000185,0.00247600779375825,Community water system,Ground water,60,GARDNER,GW,N,GARDNER
MA2034028,5,0.0005,0.0005,0.0005,Community water system,Ground water,42,FRANKLIN,GW,N,FRANKLIN
MA2034030,5,0.0005,0.0005,0.0005,Community water system,Ground water,148,WESTBOROUGH,GW,N,WESTBOROUGH
MA2034031,12,0.000623062688084338,0,0.000996125376168676,Community water system,Ground water,135,BOSTON,GW,N,BOSTON
MA2037001,5,0.00069845015046747,0.0005,0.000996125376168676,Community water system,Ground water,360,SUDBURY,GW,N,SUDBURY
MA2037002,23,0.000487571400010927,0.00025,0.00130353555006283,Community water system,Ground water,350,BEDFORD,GW,N,BEDFORD
MA2037006,3,0.0005,0.0005,0.0005,Community water system,Ground water,36,HARVARD,GW,N,HARVARD
MA2037007,4,0.000813339828131879,0.0005,0.00121535541564839,Community water system,Ground water,400,BOXBOROUGH,GW,N,BOXBOROUGH
MA2037009,12,0.00229166666666667,0.0005,0.00804999999999999,Community water system,Ground water,68,ACTON,GW,N,ACTON
MA2037013,4,0.0005,0.0005,0.0005,Community water system,Ground water,500,BOXBOROUGH,GW,N,BOXBOROUGH
MA2037014,5,0.000527060176589097,0.00034,0.000768240706356386,Community water system,Ground water,80,ACTON,GW,N,ACTON
MA2037036,4,0.000875,0.0005,0.001775,Community water system,Ground water,463,IRVING,GW,N,IRVING
MA2037038,1,0.0005,0.0005,0.0005,Community water system,Ground water,100,FORT WASHINGTON,GW,N,FORT WASHINGTON
MA2039000,17,0.00138814709867461,0.0005,0.00432,Community water system,Ground water,3182,BOYLSTON,GW,N,BOYLSTON
